Team,Year,Coach,Internal?,Type,Years,,
VAN,1995,Brian Winters,No,Previous AC,1.5,,
DAL,1994,Dick Motta,No,Previous HC,3,,
LAC,1994,Bill Fitch,No,Previous HC,4,,
LAL,1994,Del Harris,No,Previous HC,4.5,,
MIN,1994,Bill Blair,No,Previous HC,1.5,,
NJN,1994,Butch Beard,No,College,2,,
PHI,1994,John Lucas II,No,Previous HC,2,,
POR,1994,P.J. Carlesimo,No,College,3,,
SAS,1994,Bob Hill,No,Previous HC,2,,
WAS,1994,Jim Lyman,No,Previous HC,3,,
ATL,1993,Lenny Wilkens,No,Previous HC,7,,
CLE,1993,Mike Fratello,No,Previous HC,6,,
DAL,1993,Quinn Buckner,No,Player,1,,
DET,1993,Don Chaney,Yes,Previous HC,2,,
IND,1993,Larry Brown,No,Previous HC,4,,
LAC,1993,Bob Weiss,No,Previous HC,1,,
ORL,1993,Brian Hill,Yes,Previous AC,3.5,,
DEN,1992,Dan Issel,No,Player,2.5,,
DET,1992,Ron Rothstein,No,Previous HC,1,,
LAL,1992,Randy Pfund,Yes,Previous AC,1.5,,
MIL,1992,Mike Dunleavy Sr,No,Previous HC,4,,
NJN,1992,Chuck Daly,No,Previous HC,2,,
PHI,1992,Doug Moe,No,Previous HC,0.5,,
PHO,1992,Paul Westphal,Yes,Previous AC,3.5,,
SAC,1992,Garry St. Jean,No,Previous AC,5,,
SAS,1992,Jerry Tarkanian,No,College,0.5,,
CHO,1991,Allan Brislow,No,Previous AC,5,,
MIA,1991,Kevin Loughery,No,Previous HC,3.5,,
MIN,1991,Jimmy Rodgers,No,Previous HC,1.5,,
NYK,1991,Pat Riley,No,Previous HC,4,,
ATL,1990,Bob Weiss,No,Previous HC,3,,
BOS,1990,Chris Ford,Yes,Previous AC,5,,
DEN,1990,Paul Westhead,No,Previous HC,2,,
LAC,1990,Mike Schuler,No,Previous HC,1.5,,
LAL,1990,Mike Dunleavy Sr,No,Previous AC,2,,
NYK,1990,John MacLeod,No,Previous HC,1,,
SEA,1990,KC Jones,Yes,Previous HC,1.5,,
